region_country,model,sample_mean,upper_95_ui,lower_95_ui,sd,level,definition
AFRO D,25.87,27.56,57.81,11.03,12.34,primary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
AFRO E,21.05,22.12,45.58,8.94,9.87,primary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
AMRO A,724.14,739.94,1612.71,274.63,345.21,primary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
AMRO B,159.39,165.06,335.85,66.07,72.28,primary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
AMRO D,74.02,76.79,164.19,30.52,36.02,primary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Andean Latin America,98.58,102.99,227.29,39.54,48.68,primary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Australasia,631.45,664.75,1422.89,262.65,291.52,primary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Caribbean,65.35,67.35,152.78,25.54,31.82,primary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Central Asia,67.53,70.57,147.26,28.4,30.82,primary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Central Europe,244.84,254.44,574.1,96.41,117.88,primary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Central Latin America,154.72,159.78,335.2,65.43,73.19,primary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Central Sub-Saharan Africa,19.07,20.11,44.13,7.29,9.57,primary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
EMRO B,231.35,241.2,527.29,89.84,115.51,primary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
EMRO D,33.99,35.64,76.41,13.5,16.21,primary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
EURO A,541.21,570.43,1218.9,216.2,269.61,primary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
EURO B,166.68,177.19,390.35,71.07,83.18,primary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
EURO C,224.45,230.66,519.84,87.94,106.09,primary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
East Asia,84.73,86.51,190.5,31.93,39.06,primary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Eastern Europe,226.69,234.69,534.59,91.05,115.67,primary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Eastern Sub-Saharan Africa,11.19,11.5,24.76,4.2,5.26,primary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
High Income Asia Pacific,503.2,529.49,1113.26,197.66,241.9,primary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
High Income North America,750.01,786.93,1667.06,311.69,358.41,primary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
North Africa and the Middle East,144.07,148.26,305,58.17,66.22,primary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Oceania,26.77,27.57,58.77,10.96,12.64,primary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
